Lambda (nm)	A	B	C	D50	D55	D65	D75	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
545	0,89412	0,9625	0,98718	1,00764	1,027	1,04225	1,056	1,9358	1,5396	1,43235	1,38334	1,82763	1,46458	2,34658	2,46259	2,17504	21,80178	25,73852	21,23377
550	0,92912	0,982	0,99905	1,0051	1,033	1,04046	1,049	1,18981	1,0297	0,97054	0,92529	1,16645	1,01394	1,35533	1,40391	1,27865	9,94379	11,52297	9,57143
555	0,96442	0,991	1,00351	1,00255	1,0165	1,02023	1,0245	0,94557	0,90285	0,87733	0,84997	0,95197	0,90767	0,98887	1,00255	0,96389	2,43787	2,65724	2,32468
560	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
565	1,03582	0,999	0,9887	0,99745	0,986	0,98167	0,978	1,04745	1,08663	1,11185	1,14391	1,0375	1,07607	1,01113	1,00085	1,03689	0,73077	0,69258	0,80195
570	1,07184	0,998	0,97151	0,9949	0,972	0,96334	0,956	1,08304	1,15223	1,19964	1,26393	1,05921	1,12834	1,01987	1,0068	1,07143	0,63314	0,59011	0,73701
575	1,10803	0,99	0,95109	0,99236	0,9745	0,96061	0,949	1,27634	1,32859	1,38966	1,48683	1,21974	1,27584	1,22893	1,24235	1,30063	1,43787	1,56537	1,6526
580	1,14436	0,982	0,92877	0,98981	0,977	0,95788	0,942	1,36427	1,41027	1,48467	1,60808	1,28289	1,33624	1,33148	1,3699	1,42386	3,38757	3,98587	3,88312
585	1,1808	0,9735	0,90627	0,98726	0,9455	0,92237	0,906	1,08025	1,19369	1,28743	1,4256	1,0125	1,12718	1,01987	1,04932	1,14207	4,37574	5,21555	4,97403
590	1,21731	0,965	0,88509	0,98471	0,914	0,88686	0,87	1,04047	1,1547	1,25376	1,40478	0,96316	1,07782	1,00715	1,06548	1,14992	3,59763	4,49823	4,63312
595	1,25386	0,959	0,86629	0,98217	0,929	0,89346	0,871	0,98744	1,09715	1,19844	1,35579	0,90263	1,01161	0,98967	1,08163	1,15071	2,65385	3,4417	3,85065
600	1,29043	0,953	0,85185	0,97962	0,944	0,90006	0,872	0,92254	1,02351	1,12267	1,28047	0,83487	0,93438	0,969	1,09864	1,14678	1,92899	2,59011	3,01299
605	1,32697	0,9555	0,84359	0,98217	0,9475	0,89803	0,8665	0,85066	0,94121	1,03548	1,18983	0,76118	0,85017	0,94515	1,11565	1,13815	2,60651	3,43463	3,99675
610	1,36346	0,958	0,83951	0,98471	0,951	0,89599	0,861	0,77599	0,85396	0,94107	1,08634	0,6875	0,76365	0,9221	1,13435	1,12951	13,05325	19,53004	22,25
615	1,39988	0,964	0,83751	0,98726	0,9465	0,88649	0,8485	0,69993	0,76485	0,84426	0,97979	0,61513	0,67828	0,90223	1,15731	1,1303	10,22189	15,04594	17,21429
620	1,43618	0,97	0,83666	0,98981	0,942	0,87699	0,836	0,62456	0,6776	0,74865	0,88304	0,54539	0,59524	0,88394	1,17942	1,13579	3,57692	4,65724	4,76299
625	1,47235	0,976	0,83628	0,98981	0,923	0,85494	0,8115	0,55548	0,59715	0,65845	0,76914	0,48158	0,52033	0,87043	1,19643	1,14757	3,59467	4,65018	4,66883
630	1,50836	0,982	0,83571	0,98981	0,904	0,83289	0,787	0,48988	0,5198	0,57186	0,66932	0,42171	0,44948	0,85533	1,20748	1,15542	3,11243	4,33216	4,77597
635	1,54418	0,988	0,83438	0,98981	0,9135	0,83494	0,7855	0,43266	0,45297	0,49729	0,58298	0,37039	0,3885	0,8283	1,20408	1,14207	1,31065	1,80565	2,0974
640	1,57979	0,994	0,83381	0,98981	0,923	0,83699	0,784	0,37823	0,39047	0,42754	0,50092	0,32237	0,33159	0,80366	1,20153	1,1303	0,57692	0,73145	0,83442
