0,5767309	0,1855540	0,1881852
0,2973769	0,6273491	0,0752741
0,0270343	0,0706872	0,9911085
0,4497288	0,3162486	0,1844926
0,2446525	0,6720283	0,0833192
0,0251848	0,1411824	0,9224628
0,6326696	0,2045558	0,1269946
0,2284569	0,7373523	0,0341908
0,0000000	0,0095142	0,8156958
0,6712537	0,1745834	0,1183829
0,3032726	0,6637861	0,0329413
0,0000000	0,0407010	0,7845090
0,4674162	0,2944512	0,1886026
0,2410115	0,6835475	0,0754410
0,0219101	0,0736128	0,9933071
0,4887180	0,3106803	0,2006017
0,1762044	0,8129847	0,0108109
0,0000000	0,0102048	0,9897952
0,5093439	0,3209071	0,1339691
0,2748840	0,6581315	0,0669845
0,0242545	0,1087821	0,6921735
0,6457711	0,1933511	0,1250978
0,2783496	0,6879702	0,0336802
0,0037113	0,0179861	0,8035125
0,6502043	0,1780774	0,1359384
0,3202499	0,6020711	0,0776791
0,0000000	0,0678390	0,7573710
0,5938914	0,2729801	0,0973485
0,2606286	0,7349465	0,0044249
0,0000000	0,0419969	0,7832131
0,6068909	0,1735011	0,2003480
0,2989164	0,5865990	0,1144845
0,0000000	0,0660957	1,1162243
0,4306190	0,3415419	0,1783091
0,2220379	0,7066384	0,0713236
0,0201853	0,1295504	0,9390944
0,7976749	0,1351917	0,0313534
0,2880402	0,7118741	0,0000857
0,0000000	0,0000000	0,8252100
0,3935891	0,3652497	0,1916313
0,2124132	0,7010437	0,0865432
0,0187423	0,1119313	0,9581563
0,4124564	0,3575761	0,1804375
0,2126729	0,7151522	0,0721750
0,0193339	0,1191920	0,9503041
0,7161046	0,1009296	0,1471858
0,2581874	0,7249378	0,0168748
0,0000000	0,0517813	0,7734287
